"title","review","rating","date"
"This is not the same Percy that is in the books","I couldn't care less about the differences in how the characters LOOK in this show vs in the books. But I care immensely that Percy's character just doesn't... feel like Percy.  In the books, he's snarky and quick-witted, and he possesses this childish confidence where he believes he can take on the whole world. I don't feel like any of that comes across in the show. A couple examples: in the show he is simply not funny or witty, at all. I can't think of a single thing he said that made me laugh. His sarcastic commentary made me laugh so much as a kid and it is sorely missed.    in the show, he doesn't stand up to Gabe; instead, Sally does. This is a big flip of the power dynamic in the books, where Percy naively believes that he can solve his mother's problems for her, when the reality is that she's sacrificing everything for his sake. As a result Percy just seems like a bystander.    in the show he chooses to fight first with violence rather than using his words. For example, against Clarisse in the books a lot of their drama stems from him throwing clever insults at her but here he just fights (with fighting skills seemingly out of nowhere, by the way).   Perhaps I've read the books too many times, and at the end of the day, if the ""new Percy"" character worked just as well, I wouldn't criticize the changes. However, the problem is that I feel like the new Percy DOESN'T work, he's not a compelling protagonist at the moment and I don't find myself rooting for him. I will continue watching and I'm hoping this changes, but at the moment, I'm disappointed, especially since Riordan himself wrote the script.","4","22 December 2023"
"Ehhh","The personalities for characters Percy and Annabeth are so far off it hurts. I thought the big deal on this was that these actors were supposed to embody the characters so well, that looks didn't matter! Three episodes in and I'm not impressed. They made some weird changes to the story to shoehorn this snarky and combative new Percy in.  Percy starts off as whiney and clueless. No one is explaining things to him until he sounds like an idiot, and has stuck his foot in his mouth. He's rude, and not at all funny or caring about other people. Annabeth isn't supposed to be his best friend yet - but she is so hostile.  Whoever wrote the screenplays for these episodes needs to reread the source material.  The Aunty Em's storyline changes was a complete wasted disaster. I hope Disney would do better.","5","27 December 2023"
"Pleasantly Surprised","Initially, I had doubts about the show, especially concerning casting and worries about staying true to the original material after those cringe-worthy movies. But diving into the first two episodes surprised me-it brought back the Percy Jackson vibes, nailing visuals, characters, and the storyline. Despite visual tweaks, the characters' personalities felt spot-on. Percy is undeniably Percy, Annabeth is herself, and Grover has some extra depth. I'm really looking forward to the next episodes! The quality and attention to detail exceeded my expectations, promising an engaging series that captures the essence of the beloved books.","9","20 December 2023"
"If I had a Time Machine...","I was 11 when I first read Percy Jackson and the lighting thief. I was diagnosed with ADHD and dyslexia, and my mother gave me this book because some neighbor said it was good for kids like myself. To this day, one of the most influential books I've read.  I've been waiting for this series for a long time, and man it was worth the wait. 2 episodes in and you can already see the attention to detail they put into this show. The casting choices are so far great, the dialogue is excellent, and the kids they chose for Grover, Annabeth, and Percy have so far nailed their characters. It's obvious they are setting this up to do the entire series (which would be phenomenal) and the pacing is so far pretty good.  If I had a Time Machine, I'd take this show back to 11 year old me to just see the excitement on my face as my favorite character gets an amazing series like this. I'm excited to see where they take the show, and how they introduce new characters through the series like Thalia and Nico. I can only hope that this gets even a quarter of the hype as Harry Potter, but I'm just glad Percy Jackson's finally getting the screen adaptation he deserves.","8","21 December 2023"
"Meh","The movie is way better and so are the books. The dialogue is just dry and dull. The acting is just terrible. Casting is not great either and the show just moves so terribly slow. I was so disappointed in this series, it really is a shame to have such high hopes and now crash so hard to the ground. I don't know how the ratings are so high, this was just awful and hard to watch. Character portrayal, acting is subpar, dialogue, the monotonous talking in every scene can put you to sleep, especially Percy, ugh, just bad. Percy's voice and his bad acting just ruins the show for me. Stick to the books and the movie. Hard pass.","2","26 December 2023"
"Not perfect but leagues better than the film","Let me start off by saying that, as a fan of the books, this adaptation pays homage to the book series in just about every possible way.  It's entertaining, funny, and has a phenomenal soundtrack. The minotaur scene and the capture the flag scene in particular were well adapted to the screen.  Walker Scobell was probably the best possible choice to play Percy Jackson. With him as the lead role, it seems more genuine and we get a level of emotion that was distinctly absent from Logan Lerman's portrayal. Seeing such a young kid play Percy really made me realize that I never saw him as a 12-year-old in my mind. It makes me excited to see how Walker and his costars grow up with their roles.  As for the other actors, I think they were casted phenomenally. Diyonisus and Grover in particular are standouts to me. Each actor is great in their own role, but something about them seems off to me. It's almost like their acting is severely restrained, like they weren't allowed to do anything other than what was written for them. The actors themselves seem stiff, but they knew their characters without adding a lot of emotion.  The set pieces and cinematography are beautiful. The atmosphere of Camp Half Blood is wonderful and the implementation of Greek architecture for the cabins looks stunning.  I will update this review as more episodes release and my mind possibly changes.","8","20 December 2023"
"Disappointing","As an absolutely massive fan of the Percy Jackson book series I was ecstatic for the show to premiere. Like most book fans, I had found the movie series to be an extremely poor adaptation and unfaithful to the original series. I had very high hopes and expectations for the Disney+ reboot, especially with Rick Riordan involved in the show.  To my utter disappointment, the Percy Jackson show is an equal letdown as to the movie adaptations. The episodes are too short and extremely rushed, with no time for any type of character development or emotional response. Percy's mother passes, he doesn't even blink. He's a demigod, okay. He's at camp, he suddenly has best friends. I watched the first few episodes with someone who hasn't read the series and is unfamiliar with general Greek mythology, and they had no idea what was happening and were bored - as was I!  I'd recommend you skip this. Again, I was super exited as a book fan and all I can say is I'll go back to pretending there's no live adaptations of the classic and excellent series.","1","27 December 2023"
"Underwhelming","My headline pretty much says it. The pacing is too fast honestly (great for kids with short attention spans ig) and the lines seem pretty cliché and cheesy to be frank. The visual effects could also be a bit better. I know the movie wasn't everyone's favorite but I do think they had better visuals in it. The issue with the pacing is that it really isn't giving the audience enough time to create an emotional relationship with Percy that readers might already have. If anything this series is for them and no one else which doesn't make it good television. And I might be in the minority but there is nothing wrong with slowing down and letting your affections for the character grow. Since these are based on books they could've gone even MORE in depth than before but they actually are seeming to go faster through the intro stuff than they really should be. I think the show is overhyped and hope it gets better.","5","21 December 2023"
"Terrible acting and Casting Decision","What was Rick Riordan thinking? Did he really think this cast more accurately represented his books? This is a good example of why some authors should be left out of casting/film production. The acting is very bad and I mean very bad. These kids have little to no acting chops and their chemistry with each other is almost non existent. The quest almost presents no challenge, from the very beginning with Ms. Dobbs you didn't really feel like their lives were in danger or that they felt the stakes of their mission. Medusa was killed in a mere 10 seconds in the basement. I'd expect it to be a little more difficult for some 12 year olds. I hate to say it but I much prefer the movie adaptation over this garbage. Skip this if you don't want to waste your time.","1","28 December 2023"
"Love it","I really enjoyed the first 2 episode's. Tv is my escape from reality so having a show to grasp you and not let go is really hard to find anymore. I loved the books I loved the movies. I'm cool with them going away from the book alittle bit. I feel like sometimes that cld be a good thing. I enjoyed the fact they started the journey from the beginning. The acting isn't bad they are actually doing a great job on that end. The quality is great the scenes and the special effects are awesome. I'll say we're off to a great start. I think this is going to be a great show. Hopefully this show will get a real chance and be able to thrive.","8","20 December 2023"
